the_geom,ObjectID,Name,Address
POINT (-90.047036132866 29.947367826209),304,Second Good Hope Baptist Church,800  ELMIRA AVE
POINT (-90.042471966368 29.942100166116),219,Mount Sinai Baptist Church,1247  LEBOEUF ST
POINT (-90.118443069365 29.936058521606),170,Holy Name of Jesus Parish Center,6220  LASALLE PL
POINT (-90.024639524728 29.961059124902),11,Amozion Baptist Church,907  DESLONDE ST
POINT (-90.041086346024 29.983611538631),92,Fifth Church of God in Christ,3007  LAW ST
POINT (-90.069565412796 29.986425298926),225,Mt Hermon Baptist Church,2153 N BROAD ST
POINT (-90.132453603375 29.939242499013),415,Zion Traveller's First Baptist Church,406  ADAMS ST
POINT (-90.035003524225 29.994949337703),211,Louisa Street Church of Christ,3644  LOUISA ST
POINT (-90.083183939998 29.940348899409),347,Peoples United Methodist Church,2001  SIMON BOLIVAR AVE
,71,Beulah Land Baptist Church,2436  MAURICE AVE
POINT (-90.040506321451 29.929810215537),178,Holy Trinity Christian Baptist,1727  ERIE ST
POINT (-90.108901386309 29.958686560052),141,Greater King Solomon Mssnry,3305  AUDUBON ST
POINT (-90.091965089613 29.944464706863),89,Ebenezer Baptist Church,2415 S CLAIBORNE AVE
POINT (-90.085569191112 29.93601086388),281,Pressing Onward Baptist Church,2413  DANNEEL ST
POINT (-90.092946647421 29.941674391069),312,Second Mount Calvary Baptist Church,2828  FOURTH ST
POINT (-90.105926366146 29.923544013418),380,Sunlight Missionary Baptist Church,4721  COLISEUM ST
POINT (-90.096019600821 29.932917061796),272,Pilgrim's Progress Baptist Church,3600  LOYOLA AVE
POINT (-90.022666688331 29.940878330152),175,House of Refuge Apostolic Church,3160  GENERAL MEYER AVE
POINT (-90.061279552805 29.972072625021),115,Genesis Missionary Baptist Church,1820 N ROBERTSON ST
POINT (-90.085741485475 29.920831423103),386,The Lord Jesus Christ,752  PLEASANT ST
POINT (-90.058292750752 29.993048813519),128,Gideon Christian Fellowship,3401  ELYSIAN FIELDS AVE
POINT (-90.065377039031 29.980549084646),287,Rocks-Ages Missionary Baptist,1921 N TONTI ST
POINT (-90.120866521937 29.920088401169),377,St. Paul's United Church,5919  PATTON ST
POINT (-90.088739167505 29.934453604493),158,Guiding Light Missionary Baptist,2012  WASHINGTON AVE
POINT (-90.075597681998 29.967015812084),144,Greater Galile Missionary Church,2013  ST ANN ST
POINT (-90.123732341559 29.950203224882),228,Mt Triumph Baptist Church,1734  FERN ST
POINT (-90.096431247635 29.93524410567),82,Ephesus Seventh-Day Adventist,2400  DELACHAISE ST
POINT (-90.114060598104 29.955789282945),352,St Rita Catholic Church,2729  LOWERLINE ST
POINT (-90.092730666835 29.93224543992),169,Holy Ghost Convent,3325  DANNEEL ST
POINT (-90.051363986079 29.942461815025),106,First Free Mission Baptist Church,426  LAMARQUE ST
POINT (-90.062720662447 29.974570848027),335,St John Divine Missionary Baptist,1763 N DERBIGNY ST
POINT (-90.03743973709 30.012647821231),367,St. Gabriel the Archangel Roman Catholic Church,4700  PINEDA ST
POINT (-90.091875019261 30.024043908652),378,St. Pius X Church,6666  SPANISH FORT  BLVD
,117,City Church of New Orleans,13213  INTERSTATE 10 SERVICE RD
POINT (-90.068226380607 29.972215187563),408,Whole Truth Church of God in Christ,1715  COLUMBUS ST
POINT (-90.037918371465 29.971822708763),391,Trinity United Missionary Baptist,3501 N CLAIBORNE AVE
POINT (-90.066052104527 29.967916354062),322,St Anna's Episcopal Church,1313  ESPLANADE AVE
POINT (-90.120416180384 29.932268012823),288,Redeemer Prebyterian Church,6200  ST CHARLES AVE
POINT (-90.120037725163 29.956195951759),434,St Nicholas Byzantine Catholic,2435 S CARROLLTON AVE
POINT (-90.061597144389 29.967112301497),395,Triumph Baptist Church,1760 N RAMPART ST
POINT (-90.078947124359 29.964242195724),435,Old Zion Baptist Church,430 N JOHNSON ST
POINT (-90.102597158573 29.926082022494),75,Covenant Presbyterian Church,4422  ST CHARLES AVE
POINT (-90.022362954284 29.957141093574),146,Greater Little Zion Baptist Church,5130  CHARTRES ST
POINT (-90.018294976785 29.926649543644),21,Berean Bible Church,3712  HERSCHEL ST
POINT (-90.123477431334 29.969207272428),412,Word of Life Church,3200  MISTLETOE ST
POINT (-90.035407792481 29.991563869356),239,New Birth Missionary Baptist Church,3320  LOUISA ST
POINT (-90.033715519199 29.929623893984),38,Calvary Baptist Church,2401  GENERAL DEGAULLE DR
POINT (-90.081607047139 30.011628296949),295,Saint Mark Coptic Orthodox Church,5333  ST BERNARD AVE
POINT (-90.015454454312 29.924901925327),237,Navigators Christian Fellowship,3928  MACARTHUR BLVD
POINT (-90.030552049793 29.972733722937),234,New Bethel Church of God in Christ,1822  LESSEPS ST
POINT (-90.094301869313 29.927419368705),70,Church of Jesus Christ of Latter-day Saints,3613  ST CHARLES AVE
POINT (-90.077590217894 29.926003925032),180,Irish Channel Christian Fellowship,819  FIRST ST
POINT (-90.028581626207 29.921676942367),216,Jehovah's Witnesses,3031  BEHRMAN HWY
POINT (-90.096757439484 29.93480335886),91,Fellowship Missionary Baptist Church,3524  LASALLE ST
POINT (-90.088518828395 29.974923793342),26,Bibleway Missionary Baptist,3235  ORLEANS AVE
POINT (-90.120416180384 29.932268012823),327,St Charles Avenue Christian Church,6200  ST CHARLES AVE
POINT (-90.008721345332 29.958668434077),235,New Israel Baptist Church,6322  ST CLAUDE AVE
POINT (-90.04852431206 30.002632345189),365,St. James Major Catholic Church,3736  GENTILLY BLVD
POINT (-90.091562567173 29.943186729505),279,New Zion Baptist Church,2929  SECOND ST
POINT (-90.03849866916 29.969409969846),54,Christ Temple Church,1339  GALLIER ST
POINT (-90.048651390723 29.983464078926),108,Franklin Ave Baptist Church,2515  FRANKLIN AVE
POINT (-90.073179336062 29.987657299854),297,Saint Raymond Saint Leo the Great Catholic Church,2916  PARIS AVE
POINT (-90.086421504239 29.934387011953),311,Second Mt Carmel Baptist Church,2601  DRYADES ST
POINT (-90.08344735728 29.946350049126),285,Progressive Baptist Church,1214 S ROBERTSON ST
POINT (-90.063098728352 29.980393908506),418,Mt Carmel Baptist Church,2024 N TONTI ST
POINT (-90.04127555897 29.972007003873),113,Galilee Baptist Church,1528  LOUISA ST
POINT (-90.099278106117 29.918699031141),301,Second Baptist Church,4218  LAUREL ST
POINT (-90.09526799172 29.926661923784),401,Unity Temple,3722  ST CHARLES AVE
POINT (-90.095447236883 29.920720120939),16,Austerlitz Street Baptist Church,819  AUSTERLITZ ST
POINT (-90.100117119707 29.919887027245),417,Saint Henrys Roman Catholic Church,801  GENERAL PERSHING ST
POINT (-90.032635916692 29.944476141078),442,Westbank United Seventh-day Adventist Church,2401  GENERAL MEYER AVE
