the_geom,ObjectID,Name,Address
POINT (-90.074498660176 29.92617483332),203,Jackson Avenue Evangelical Congregational Church,2221  CHIPPEWA ST
POINT (-90.017855452433 29.924887827641),209,Love Lutheran Church,3730  MACARTHUR BLVD
POINT (-90.133290684245 29.935919727613),2,A Word of Light Ministries,7506  GARFIELD ST
POINT (-89.984454648173 29.920460203133),314,Second Nazarene Baptist Church of Algiers,3074  BOYD ST
POINT (-90.133027949141 29.937033320753),276,Plymouth Rock Baptist Church,233  HILLARY ST
POINT (-90.103113641171 29.968014918751),171,Firehouse Ministries,3900  ULLOA ST
POINT (-90.021839516846 29.94279763769),261,Olive Branch Baptist Church,3220  DE ARMAS ST
POINT (-90.064391156353 29.979305928321),31,Beecher Memorial United Church of Christ,1914 N MIRO ST
POINT (-90.114113920167 29.969694172601),63,City of Love,8601  PALMETTO ST
POINT (-90.12097834604 29.920767320737),363,St. Francis of Assisi Church,631  STATE ST
POINT (-90.012584884275 29.973479627656),18,Battle Ground Baptist Church,2241  FLOOD ST
POINT (-90.035076453198 29.970233444385),245,New Salem Baptist Church,1530  ALVAR ST
POINT (-90.040203434427 29.979733110251),137,Greater Evergreen Baptist Church,2243  CLOUET ST
POINT (-90.014512613573 29.961914931453),47,Catholic Church St David,5617  ST CLAUDE AVE
POINT (-90.108840228461 30.001278518626),159,Harbor Community Church,6100  CANAL BLVD
POINT (-90.034177568789 29.979748067975),323,Spiritual Sun Light Baptist,2400  INDEPENDENCE ST
POINT (-90.012109367958 29.954728949574),341,St Maurice Catholic Church,605  ST MAURICE AVE
POINT (-90.074530953597 29.928843571534),426,St. Mary's Assumption Church,923  JOSEPHINE ST
POINT (-90.091960104501 29.932567229192),339,St Mark Missionary Baptist Church,3219  DANNEEL ST
POINT (-90.039126874175 30.01716616142),24,Bethany United Methodist Church,4516  PRENTISS AVE
POINT (-90.075712171958 30.017749953241),77,Edgewater Baptist Church,5900  PARIS AVE
POINT (-90.02175010217 29.94358303944),370,St. Jospeh's Missionary Baptist,3210  DIANA ST
POINT (-90.08222863721 29.941012496779),248,New St Mark Baptist Church,1630  SIMON BOLIVAR AVE
POINT (-90.066926197359 29.966342341174),167,Holy Faith Temple Baptist Church,1325  GOVERNOR NICHOLLS ST
POINT (-90.128251135811 29.94283852933),122,Frist Free Mission Baptist Church,919  ADAMS ST
POINT (-90.049847750019 29.944337999785),372,St. Matthew's United Methodist,1100  VERRET ST
POINT (-90.057458278015 29.971020707083),179,House-Faith Non Denomination,1320  ELYSIAN FIELDS AVE
POINT (-90.016733994325 29.961257030457),8,All Souls Episcopal Church & Community Center,5500  ST CLAUDE AVE
POINT (-90.085376629444 29.93652421826),315,Second New Light Mssnry Baptist,2021  FIRST ST
POINT (-90.009039346467 29.961118404466),44,Branch Bell Baptist Church,1231  ST MAURICE AVE
POINT (-90.084279541309 29.938563811699),344,St Paul Community Baptist Church,2041  JACKSON AVE
POINT (-90.082560090635 29.941348043724),17,Berean Presbyterian Church,1629  SIMON BOLIVAR AVE
POINT (-90.127571976441 29.93675269274),80,Dominican Sisters House,580  BROADWAY ST
POINT (-90.041633897708 29.937215158261),127,Fischer Community Church,1737  L.B. LANDRY AVE
POINT (-90.049198897249 29.94869784793),9,Aligiers United Methodist Church,701  VALLETTE ST
POINT (-90.050235816337 29.966344980846),343,St Paul Lutheran Church,2624  BURGUNDY ST
POINT (-90.107838396291 30.004570408446),420,Saint Pauls Episcopal Church,700  HARRISON  AVE
POINT (-90.041520121473 29.966870200917),130,Good News Baptist Church,3302  ST CLAUDE AVE
POINT (-90.079400090427 29.924816847899),396,Trumpet in Zion Revival Temple,814  THIRD ST
POINT (-90.052994851179 29.968110266283),317,Spain Street Church of God in Christ,1017  SPAIN ST
POINT (-90.077918822329 29.973839880267),431,St Luke's Episcopal Church,1222 N DORGENOIS ST
POINT (-89.982275857166 29.923154453092),13,Asbury United Methodist Church,2725  ERNEST ST
POINT (-90.079395120849 29.936855561985),96,First Emanuel Baptist Church,1829  CARONDELET ST
POINT (-90.032812866795 29.944365417065),242,New Jerusalem Deliverance Church,2335  GENERAL MEYER AVE
POINT (-90.133337244104 29.93418482523),240,Mt. Moriah Missionary Baptist Church,147  MILLAUDON ST
POINT (-90.060236291912 30.030077889579),55,Chapel of the Holy Comforter,2230  LAKESHORE DR
POINT (-90.066261985156 29.965458800806),326,St Augustine Catholic Church,1210  GOVERNOR NICHOLLS ST
POINT (-89.986128000099 29.917717788561),438,Woodland Presbyterian Church,5824  BERKLEY DR
POINT (-90.036538768801 29.964379873647),131,Grace Baptist Church,3900 N RAMPART ST
POINT (-90.1200119011 29.932984500605),385,Temple Sinai,6227  ST CHARLES AVE
POINT (-90.113960716448 29.941319145987),402,Ursuline Sisters OLPS,2635  STATE ST
POINT (-90.072537382924 29.939544449389),299,Saint Theresa of Avila Catholic Church,1404  ERATO ST
POINT (-90.059533996424 29.973036440469),332,St Joseph Free Baptist Church,1523  TOURO ST
POINT (-90.097865857907 29.945561461358),275,Pleasant Zion Baptist Church,3317  TOLEDANO ST
POINT (-90.091870926081 29.93927296931),149,Greater Salvation Missionary,2533  WASHINGTON AVE
,425,St. Philip's Episcopal Church,3643  AURORA DR
POINT (-90.101471970051 29.947161982364),205,Little Mt Olive Baptist Church,3709  GENERAL TAYLOR ST
POINT (-90.112829874648 30.013093170133),29,Bethel Baptist Church,201  FILMORE AVE
POINT (-90.130394215275 29.946200382719),358,St. Andrew's Episcopal Church,1031 S CARROLLTON AVE
POINT (-90.130406152221 29.938003051736),409,Williams United Methodist Church,417  CHEROKEE ST
POINT (-90.075717721728 29.999881612278),269,Pentecost Baptist Church,1510  HARRISON  AVE
POINT (-90.021533713632 29.959226463956),254,New Covenant Apostolic Faith Church,813  LIZARDI ST
POINT (-90.064404290895 29.970029354685),383,Tabernacle of Christ Baptist,1342  ST BERNARD AVE
POINT (-90.081131544033 29.920436071779),150,Greater Saint James Baptist Church,425  SEVENTH ST
POINT (-90.012058343073 29.964492417093),49,Central Missionary Baptist Church,1438  ALABO ST
POINT (-90.007201542271 29.932793501147),256,Oak Park Baptist Church,1110  KABEL DR
POINT (-90.077623999088 29.970646471068),212,Metropolitan Baptist Church,943 N TONTI ST
POINT (-90.088427603872 29.984382736),266,Our Saviour Lutheran Church,3443  ESPLANADE AVE
POINT (-90.101410613476 29.927165429436),95,First Baptist Church,1633  NAPOLEON AVE
POINT (-90.078959735238 29.924644060459),247,Macedonia Full Gospel Baptist,802  THIRD ST
POINT (-90.05075203969 29.951830555268),172,Holy Name of Mary Catholic Church,400  VERRET ST
POINT (-90.088646806265 29.940993793543),232,Mt Ararat Missionary Baptist Church,2525  FIRST ST
POINT (-90.12110423344 29.961237549428),226,Mt Pilgrim Baptist Church,2717  JOLIET ST
POINT (-90.131159940451 29.945531213184),289,Quaker Friends Meeting,921 S CARROLLTON AVE
POINT (-90.087126618104 29.938479364125),236,Little Zion Baptist Church,2419 S LIBERTY ST
POINT (-90.087142075372 29.980437231557),265,Our Lady of the Rosary Catholic Church,1322  MOSS ST
POINT (-90.093114508903 29.932272763383),338,St Katharine Drexel,2015  LOUISIANA AVE
POINT (-90.112998316682 29.917783910484),321,Spring Hill Missionary Baptist Church,5273  ANNUNCIATION ST
POINT (-89.996325730168 30.036289072653),58,Church of Christ,7301  CROWDER BLVD
POINT (-90.106491834681 30.005203453715),364,St. Dominic Church,775  HARRISON  AVE
POINT (-90.12921490164 29.941472900752),94,First Church Christ Scientist,7624  MAPLE ST
POINT (-90.051418884125 29.948949979274),410,Youth with a Mission,426  OPELOUSAS AVE
POINT (-90.073751938932 29.925224281788),291,Restoration Embassy Church,2218  ST THOMAS ST
POINT (-89.988224856738 29.912273318216),173,Holy Spirit Church,6201  STRATFORD PL
POINT (-90.090394318841 29.940229388216),320,Second Truelove Baptist Church,2530 S ROBERTSON ST
POINT (-90.099497742932 29.952297708683),79,Ephesian Baptist,4020  MARTIN LUTHER KING JR BLVD
POINT (-90.04162793344 29.93961495792),394,Thompson Temple Church,1515  L.B. LANDRY AVE
POINT (-90.072107230479 29.931205412776),318,Sixth Baptist Church,930  FELICITY ST
POINT (-90.060033828817 29.968457964698),183,Islamic Center of New Orleans,1911  ST CLAUDE AVE
POINT (-90.126819153734 29.945910833749),307,Second Free Mission Baptist Church,1228  BURDETTE ST
POINT (-90.015926073161 29.965274792065),388,Third Church of God in Christ,1432  FLOOD ST
POINT (-90.078442661273 29.931905695036),390,Trinity Episcopal Church,1329  JACKSON AVE
POINT (-90.076793975809 29.968584560119),233,Mt Zion Baptist Church,2200  DUMAINE ST
POINT (-90.078976248315 29.999011963755),362,St. Bernard Baptist Mission,1373  SENATE ST
POINT (-90.097860995671 29.946732132445),306,Second Missionary Baptist Church,3508  WASHINGTON AVE
POINT (-90.02179187982 29.96176547015),342,St Paul Church of God In Christ,1020  FORSTALL ST
POINT (-90.063584384187 29.958054179301),376,St. Louis Cathedral,615  PERE ANTOINE ALY
POINT (-90.094501062091 29.933777705055),277,Pilgrim's Rest Baptist Church,2200  LOUISIANA AVE
POINT (-90.095907855404 29.970867322809),68,Church of Scientology Mission of New Orleans,3524  CANAL ST
POINT (-90.103663525549 29.976204592388),40,Canal Street Church,4302  CANAL ST
POINT (-90.078285842977 29.93499342524),416,Zion Lutheran Church-MO Synod,1539  ST ANDREW ST
POINT (-90.017290854869 29.958909335075),104,First Thessalonians Missionary Baptist Church,840  CAFFIN AVE
POINT (-90.106883539937 29.937762241378),336,St Luke's Baptist Church,2738  VALENCE ST
POINT (-90.09432474125 29.970996413048),97,First Grace United Methodist Church,3401  CANAL ST
POINT (-90.082590036373 29.965275591097),50,Central Congregational Ucc,2401  BIENVILLE ST
POINT (-90.010560233406 29.959987814498),201,Light City Church,6117  ST CLAUDE AVE
POINT (-90.074817665327 29.951595686093),429,Our Lady of Guadalupe,411 N RAMPART ST
POINT (-90.049692645125 29.945423555918),151,Greater Providence Baptist Church,617  NEWTON ST
POINT (-90.051471789569 29.94533483356),230,Mt. Pilgrim Fourth Baptist Church,429  NEWTON ST
POINT (-89.999231269733 30.022436452271),174,House of Prayer,7701  DWYER RD
POINT (-90.071489459608 29.953708440622),186,Immaculate Conception Jesuit Church,130  BARONNE ST
POINT (-90.092831516788 29.94047702738),413,Willing Workers Baptist Church,2715  WASHINGTON AVE
POINT (-90.072892518646 29.936935921307),64,Coliseum Place Baptist Church,1370  CAMP ST
POINT (-90.086459984437 29.943252596054),309,Second Morning Star Baptist Church,2616  ST ANDREW ST
POINT (-90.052303498801 29.947127040979),196,Jerusalem Full Gospel,841  TECHE ST
POINT (-89.979565670069 30.016283880963),282,Prince of Peace Lutheran Church,9301  CHEF MENTEUR HWY
POINT (-90.038602967239 29.982561340321),194,Law Street Baptist Church,3132  LAW ST
POINT (-90.073356974584 29.98992211848),86,Faith Full Gospel Baptist Church,3120  PARIS AVE
POINT (-90.072244941822 29.978253796949),221,Mt Calvary Church of God in Christ,1635 N ROCHEBLAVE ST
POINT (-90.052005930798 29.976773611501),271,Our Lady Star of the Sea Catholic Church,1835  ST ROCH AVE
POINT (-90.121843699154 29.967489738639),110,Friendship Baptist Church,3125  HOLLYGROVE ST
POINT (-90.048546652781 29.945124269939),366,St. John Ame Church,1017  BELLEVILLE ST
POINT (-90.09917244674 29.935751869436),161,Historic Second Baptist Church,2505  MARENGO ST
POINT (-90.047952790374 29.975230159728),4,Abundant Life Church,1701  FRANKLIN AVE
POINT (-90.093453981704 29.93476344635),270,Payne Memorial AME Church,3306 S LIBERTY ST
,142,Gloryland Mt Gillion Baptist Church,1515  DRYADES ST
POINT (-90.042064308645 29.943316607742),223,Mount Olive Baptist Church,1126  LEBOEUF ST
POINT (-90.070011412981 29.946633218689),375,St. Patrick's Church,724  CAMP ST
POINT (-90.085781433757 29.939953761253),116,First Zion Baptist Church,2200  JACKSON AVE
POINT (-90.068171285132 29.95753392463),404,Vieux Carre Assembly of God Church,433  DAUPHINE ST
POINT (-90.028198712065 29.929540578069),198,Life Center Ministries,1  LIFE CENTER DR
POINT (-90.068641462093 29.976595255609),73,Corpus Christi-Epiphany Catholic Church,2022  ST BERNARD AVE
POINT (-90.090127024244 29.943755544488),123,Gods Prince of Protection,2900  PHILIP ST
POINT (-90.128115275315 29.948396648045),384,The Big Easy MCC (MCCGNO),1333 S CARROLLTON AVE
POINT (-89.957599965092 30.021738355988),76,Cummings Temple AME,11001  CHEF MENTEUR HWY
POINT (-90.101331176721 29.955825494104),102,First Greater Saint James Baptist Church,4227  ERATO ST
POINT (-90.107998369039 29.917144111852),28,Beulah Baptist Church,523  UPPERLINE ST
POINT (-90.080109292577 29.933275127553),373,St. Mary's Chapel,1516  JACKSON AVE
POINT (-90.066645513291 29.932370967572),129,Good Shepherd Baptist Church,1530  RELIGIOUS ST
POINT (-90.008882955519 29.958129050299),166,Holy Bible Baptist Church,1016  DELERY ST
POINT (-90.114168997646 29.973546511822),191,First Hollygrove Baptist Church,4112  GENERAL OGDEN ST
POINT (-90.049478556325 29.981315062944),124,Good News Baptist Church,2301  PAINTERS ST
POINT (-90.035613532193 29.978310238966),340,St Mary of the Angels Church,3501 N MIRO ST
POINT (-90.132775492355 29.957684473365),118,Epiphany Evangelical Lutheran,9004  HICKORY ST
POINT (-90.087997119979 29.945405617412),100,First Evangelist Baptist Church,1801  WILLOW ST
POINT (-90.110924721837 29.957349650698),349,St Peter Baptist Church,3035  BROADWAY ST
